Experiment,Algorithm,Bins / Steps,Best Reward,Final Reward,Solved,Steps to Solve,Train Time (min)
exp1 qtable,Q-Table,10,498.8,188.7,Yes,1450,5.25
exp1 dqn,DQN,—,500.0,335.1,Yes,48484,7.02
